date,open,low,high,close,volume,change,changePercent,vwap,changeOverTime
736605,151.1885,167.985,171.0675,163.6656,44700772,5.5367,3.583,150.5215,1.2993440831662255
736606,150.8154,168.574,171.7841,165.9431,36046828,3.6028,2.251,152.2043,1.327958416887188
736607,151.3554,170.4196,172.0394,163.8325,33637762,2.2775,1.392,152.1923,1.3266093464333568
736608,152.1309,171.1362,173.0112,165.0302,41393373,-2.1106,-1.272,153.1348,1.334700716960746
736611,152.9555,169.968,172.8689,169.3397,59398631,1.1976,0.731,152.9722,1.3355995885640335
736612,153.196,171.6923,172.7859,171.0577,35026306,4.3096,2.611,153.6533,1.3453360925181532
736613,153.1126,170.8352,171.9189,171.6074,24361485,0.549742,0.321,153.7079,1.3370966905043142
736614,153.4856,168.648,170.91400000000002,173.0112,24409527,1.4038,0.818,154.0344,1.3519288350074623
736615,153.8586,165.8894,167.8004,172.6578,29185668,-0.353404,-0.204,156.359,1.3952242295495263
736618,155.0072,167.78099999999998,169.3278,172.0864,25145500,-0.571419,-0.331,157.1058,1.4040633879981566
736619,156.8528,167.1308,168.8549,171.3967,40169307,-0.689646,-0.401,157.1532,1.3934264863429509
736620,157.481,167.05200000000002,168.0372,168.8056,24782487,-2.5911,-1.5119999999999998,152.9277,1.3367975753358177
736621,153.8783,168.2539,171.1307,166.5791,29158070,-2.2266,-1.319,153.9998,1.3408417345017138
736622,153.7408,170.4904,172.77599999999998,168.5692,23637484,1.9901,1.195,153.6996,1.3396437477299294
736625,154.0157,172.0626,172.9041,167.6333,21899544,-0.935948,-0.555,154.0595,1.35357702062979
736626,153.4267,170.7761,172.4903,167.4658,16262447,-0.167487,-0.1,153.4972,1.3432392341430808
736627,154.0353,169.31799999999998,172.2834,170.579,25131295,3.1133,1.859,154.5594,1.3582209362304771
736628,154.3495,164.6875,170.3623,172.3721,25588925,1.7931,1.051,158.7373,1.4427163930373317
736629,156.3717,165.9485,169.5938,172.382,14026673,0.009853,0.006,163.3768,1.4976971184221368
736632,160.8875,166.0077,169.1308,171.515,20716802,-0.866983,-0.503,165.4916,1.5324539957818657
736633,164.824,167.1209,170.0667,170.5101,26428802,-1.0049,-0.586,164.0949,1.5002441756477525
736634,166.7579,165.9091,168.983,166.9732,41666364,-3.5369,-2.074,164.2605,1.5185222489798036
736635,164.5688,163.9978,167.6871,169.3081,41527218,2.3349,1.3980000000000001,169.42700000000002,1.5842894336040632
736636,170.8123,166.4116,167.919,168.5199,39759288,-0.7881670000000001,-0.466,170.7878,1.6105077937814567
736639,169.2072,166.3229,168.4707,167.2884,32542385,-1.2315,-0.731,171.4083,1.6188967533795438
736640,170.7239,166.2934,170.3327,167.1308,27350154,-0.157633,-0.094,172.2224,1.6403201142742032
736641,171.4602,168.9249,169.8401,166.5101,28560000,-0.620683,-0.371,171.8351,1.6349268846544762
736642,171.9019,169.4559,170.9731,166.8155,25673308,0.30541599999999997,0.183,172.2561,1.6262067618341252
736643,172.5199,169.1111,170.5692,166.8648,23355231,0.049260000000000005,0.03,171.4339,1.6156812653182069
736646,170.9337,169.9091,171.5938,170.11599999999999,35273759,3.2512,1.9480000000000002,169.7075,1.5761385452625345
736647,170.4805,172.2736,174.579,169.1603,19409230,-0.9556530000000001,-0.562,166.8203,1.542159977780016
736648,167.4559,171.515,172.7957,169.7219,23818447,0.56157,0.332,168.6355,1.5725308500669954
736649,168.648,170.6874,172.8253,169.6726,20476541,-0.049261,-0.028999999999999998,167.8511,1.5582481007712896
736650,168.5101,171.5248,173.4164,173.8105,29421114,1.7241,1.016,167.4742,1.5556918869588838
736653,167.7712,171.9189,172.8292,171.9583,27436447,2.4138,1.4080000000000001,170.3505,1.6032023636202704
736654,168.2539,167.1692,168.9337,171.7711,20567766,-1.8522,-1.0659999999999998,171.6734,1.6305668232443005
736655,170.7958,167.1998,168.2539,172.4214,16349444,-0.18719,-0.109,172.5032,1.6307179069263475
736657,172.51,167.9584,169.3081,168.047,33185536,0.650237,0.379,171.6682,1.6174866390137743
736660,172.4608,166.717,168.0667,168.0766,21498213,-4.3743,-2.537,170.6396,1.6021508822371369
736661,171.7219,166.7564,169.7514,168.5495,16480187,0.029556,0.018000000000000002,166.8958,1.5481743292037125
736662,170.0766,169.4165,171.9682,166.7269,25999922,0.472901,0.281,168.545,1.5838071866997523
736663,167.9091,169.5347,170.9041,169.71200000000002,25555934,-1.8226,-1.081,167.8984,1.5717784838523592
736664,167.4362,171.3573,173.0125,169.6825,29517899,2.9852,1.79,168.4534,1.5529845894644312
736667,169.9288,170.845,172.4706,170.4707,22434597,-0.029556,-0.017,167.6869,1.5505794593340718
736668,166.5594,170.4411,171.7219,172.4115,23660018,0.7881670000000001,0.46399999999999997,166.4415,1.5411069702990845
736669,165.0224,171.9091,172.8929,171.7514,21583997,1.9409,1.139,167.12099999999998,1.5457676729755547
736670,166.5298,173.0519,174.7366,171.71200000000002,23959895,-0.640387,-0.371,167.2562,1.5465200391901914
736671,167.9682,173.5346,176.7366,172.6874,18667729,-0.019703000000000002,-0.011000000000000001,169.168,1.5961365308134408
736674,166.6973,172.4805,176.5986,174.4706,25418080,-0.03941,-0.023,169.3547,1.5815516141536414
736675,169.6037,175.6134,177.4361,173.5839,29565947,0.975358,0.568,170.2076,1.5901221793897442
736676,169.9485,174.7859,176.9238,176.4509,34386836,1.7832,1.033,169.7298,1.5893698131751073
736677,169.85,173.9894,175.1504,176.6085,31193352,-0.88669,-0.508,170.9573,1.6156812653182069
